genres,href,id,images,name,popularity,type,uri,external_urls.spotify,followers.href,followers.total
"['belgian hip hop', 'french hip hop', 'rap calme']",https://api.spotify.com/v1/artists/2RPfjjkSe3N9gmyGk1ZBxo,2RPfjjkSe3N9gmyGk1ZBxo,"[{'height': 640, 'url': 'https://i.scdn.co/image/d2a55bb3d2f65f36422748e8c41923b5350594f7', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/4fb88ac7769e563431b3ccac901e11017e7ca35c', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/99aeb61f669bd4ed947410978557a362e6be7f42', 'width': 160}]",Senamo,43,artist,spotify:artist:2RPfjjkSe3N9gmyGk1ZBxo,https://open.spotify.com/artist/2RPfjjkSe3N9gmyGk1ZBxo,,27522
"['chanson', 'french pop']",https://api.spotify.com/v1/artists/3fR5PRhFohNbxEXDE69pUz,3fR5PRhFohNbxEXDE69pUz,"[{'height': 640, 'url': 'https://i.scdn.co/image/f9985d3c8974e1da05802935f5c1e791169e33aa', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/51be5d706a37ced99c2b1a2bfb99b9d5f8250c05', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/4f4aa21b95b9f4fc2ee89daebd34fa51420fa4d5', 'width': 160}]",Serge Lama,48,artist,spotify:artist:3fR5PRhFohNbxEXDE69pUz,https://open.spotify.com/artist/3fR5PRhFohNbxEXDE69pUz,,115136
"['chanson', 'french pop']",https://api.spotify.com/v1/artists/5ce2Vgy5OXlTNvrqbBV2Gk,5ce2Vgy5OXlTNvrqbBV2Gk,"[{'height': 640, 'url': 'https://i.scdn.co/image/45cca0e18f5f3bf5adb5e57f920505cb9f97b8d7', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/48a1bcea604750a8449cb810481a801f1c4b1e85', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/eb14cf128ffaf21ef40f010fef0b6573a1031934', 'width': 160}]",Serge Reggiani,50,artist,spotify:artist:5ce2Vgy5OXlTNvrqbBV2Gk,https://open.spotify.com/artist/5ce2Vgy5OXlTNvrqbBV2Gk,,110645
"['french hip hop', 'old school rap francais', 'pop urbaine', 'rap inde']",https://api.spotify.com/v1/artists/5SZayIKDZvxXaJrxLfnIRN,5SZayIKDZvxXaJrxLfnIRN,"[{'height': 640, 'url': 'https://i.scdn.co/image/c5f28bd2779ec160389d106fdc41ba35f43bb7c7', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/1af51f1be22fdb92568aa9a679ae83aaf6cb028d', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/44d5af101ea1c9e8b629b6e96feb3d6634f76e5c', 'width': 160}]",Seth Gueko,57,artist,spotify:artist:5SZayIKDZvxXaJrxLfnIRN,https://open.spotify.com/artist/5SZayIKDZvxXaJrxLfnIRN,,207797
"['francoton', 'french hip hop', 'french pop', 'pop urbaine', 'rap conscient']",https://api.spotify.com/v1/artists/4vnmifnGOeRXfNTRtgd4Tj,4vnmifnGOeRXfNTRtgd4Tj,"[{'height': 564, 'url': 'https://i.scdn.co/image/1a41932fcfa3f00d9ce601d781cc6e618512b11a', 'width': 1000}, {'height': 361, 'url': 'https://i.scdn.co/image/1b963b3ce35ccca6e1676ad2fb95d7e751e74b3a', 'width': 640}, {'height': 113, 'url': 'https://i.scdn.co/image/38ab489129d466a4953c2d8f4e2421fa761f98c1', 'width': 200}, {'height': 36, 'url': 'https://i.scdn.co/image/74e2a84a6914c70a79c150133f8b0938e6b10580', 'width': 64}]",Sexion d'Assaut,64,artist,spotify:artist:4vnmifnGOeRXfNTRtgd4Tj,https://open.spotify.com/artist/4vnmifnGOeRXfNTRtgd4Tj,,705010
"['contemporary jazz', 'indie jazz', 'south african modern jazz']",https://api.spotify.com/v1/artists/5RSOkfm0B0WR4IBbVUtYXk,5RSOkfm0B0WR4IBbVUtYXk,"[{'height': 640, 'url': 'https://i.scdn.co/image/f6ab296d126ddd7bf157444d0604b21c50db1ae4', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/e22b169fc3c357131087c6b32bc5906753cf01e7', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/cd49cc1a6549d0a236316d26905503988900a047', 'width': 160}]",Shabaka and the Ancestors,33,artist,spotify:artist:5RSOkfm0B0WR4IBbVUtYXk,https://open.spotify.com/artist/5RSOkfm0B0WR4IBbVUtYXk,,28892
"['rap', 'trap', 'underground hip hop', 'vapor trap']",https://api.spotify.com/v1/artists/2RDOrhPqAM4jzTRCEb19qX,2RDOrhPqAM4jzTRCEb19qX,"[{'height': 640, 'url': 'https://i.scdn.co/image/c0f2b79210f155ffbc25a5a3900d3918566cec6b', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/12019a4e186428cc30ab7fc2c447b704ec3f8618', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/46d53d0c034b4ba25764b45824e185050721bb73', 'width': 160}]",Sheck Wes,71,artist,spotify:artist:2RDOrhPqAM4jzTRCEb19qX,https://open.spotify.com/artist/2RDOrhPqAM4jzTRCEb19qX,,1077448
"['francoton', 'french pop']",https://api.spotify.com/v1/artists/5BPQfQJaq5Hx0636gwk4uA,5BPQfQJaq5Hx0636gwk4uA,"[{'height': 640, 'url': 'https://i.scdn.co/image/b6b86c68dc7567979262f2913d40e79e99c14300', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/21e506fced110b31a28da9b7761e25b809c99f77', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/b3b8439e32492ab3a98c64a46e0674be3f0da34a', 'width': 160}]",Sheryfa Luna,49,artist,spotify:artist:5BPQfQJaq5Hx0636gwk4uA,https://open.spotify.com/artist/5BPQfQJaq5Hx0636gwk4uA,,142155
"['francoton', 'french pop']",https://api.spotify.com/v1/artists/3nXQmlliJxvfXOm3naZf3B,3nXQmlliJxvfXOm3naZf3B,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb9850bada0d6bf98f702dc4b9', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab676161000051749850bada0d6bf98f702dc4b9', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f1789850bada0d6bf98f702dc4b9', 'width': 160}]",Shy'm,53,artist,spotify:artist:3nXQmlliJxvfXOm3naZf3B,https://open.spotify.com/artist/3nXQmlliJxvfXOm3naZf3B,,277483
"['french hip hop', 'pop urbaine', 'rap francais']",https://api.spotify.com/v1/artists/04AIS3XqFcq2k8w3Tx4AmU,04AIS3XqFcq2k8w3Tx4AmU,"[{'height': 640, 'url': 'https://i.scdn.co/image/0b8c1193c26e575267f223a878b24c8e307b6f45', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/7eb1bcebfbb0a2b06013da0f9b632d5029ca6096', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/31c49cce5251b2ec5aa37efd844a61a3365bebfc', 'width': 160}]",Siboy,54,artist,spotify:artist:04AIS3XqFcq2k8w3Tx4AmU,https://open.spotify.com/artist/04AIS3XqFcq2k8w3Tx4AmU,,620458
